linkedin_slug,linkedin_url,company_name,tier,tier_label,primary_keyword,size_bracket,description_snippet,discovery_query,page_found,first_seen_at,resolved_domain,resolve_status,matching_people_count
aaa-comprehensive-health-care,https://www.linkedin.com/company/aaa-comprehensive-health-care,AAA Comprehensive Health Care,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,Nov-50,"11-50 employees. Headquarters: North Hollywood, CA. Type: Self-Employed ... A Federally Qualified Health Center. Click here to view Patricia Ayala's profile ...","site:linkedin.com/company/ ""federally qualified health center"" ""11-50""",8,2026-04-17T07:53:11Z,,none,1
alturacentersforhealth,https://www.linkedin.com/company/alturacentersforhealth,Altura Centers for Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"... Federally Qualified Health Center (FQHC) and is a Non-Profit 501 ( ... 201-500 employés. Siège social: Tulare, California. Type: Non ...","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",4,2026-04-17T07:53:54Z,,none,1
del-norte-clinics-inc.,https://www.linkedin.com/company/del-norte-clinics-inc.,Ampla Health,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"... (FQHC) offering comprehensive medical, dental, mental health, and specialty ... 201-500 pekerja. Ibu pejabat: Yuba City , CA. Jenis: Kebajikan. Ditubuhkan ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",8,2026-04-17T07:55:48Z,https://www.amplahealth.org,ok,1
anchorage-neighborhood-health-center-inc.,https://www.linkedin.com/company/anchorage-neighborhood-health-center-inc.,"Anchorage Neighborhood Health Center, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"201-500 employees. Headquarters: Anchorage, AK. Type: Nonprofit. Founded: 1974 ... community health center to meet that trust with compassion and respect. We ...","site:linkedin.com/company/ ""community health center"" ""201-500""",12,2026-04-17T07:52:37Z,https://anchorageneighborhood.com,parking,1
asian-american-health-coalition-dba-hope-clinic,https://www.linkedin.com/company/asian-american-health-coalition-dba-hope-clinic,Asian American Health Coalition,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,51-200 人. 总部: Houston，TX. 类型: 非营利机构. 创立: 2002. 领域: Pediatrics、Family ... Spring Branch Community Health Center. 医院和医疗保健. Houston，Texas ...,"site:linkedin.com/company/ ""community health center"" ""51-200""",11,2026-04-17T07:51:54Z,https://asianamericanhealth.com,wrong_entity,1
berks-community-health-center,https://www.linkedin.com/company/berks-community-health-center,BERKS COMMUNITY HEALTH CENTER,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"BERKS COMMUNITY HEALTH CENTER | 724 Follower:innen auf LinkedIn. We ... 51–200 Beschäftigte. Hauptsitz: READING, Pennsylvania. Art: Nonprofit. Gegründet ...","site:linkedin.com/company/ ""community health center"" ""51-200""",9,2026-04-17T07:51:52Z,https://berkscommunity.com,parking,1
bucksport-regional-health-ctr,https://www.linkedin.com/company/bucksport-regional-health-ctr,Bucksport Regional Health Center,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"Bucksport Regional Health Center is a Federally Qualified Health Center and ... 51-200 employees. Headquarters: Bucksport, Maine. Type: Public Company.","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",11,2026-04-17T07:53:25Z,https://www.bucksportrhc.com,ok,1
center-for-health-education-medicine-and-dentistry,https://www.linkedin.com/company/center-for-health-education-medicine-and-dentistry,CHEMED Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,... Federally Qualified Health Center (FQHC) that services its patients as a ... 社員 201-500名. 本社: Lakewood、NJ. 種類: 非営利団体. 創立: 2007. 場所. プライマリ.,"site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",17,2026-04-17T07:54:10Z,https://www.chemedhealth.org,ok,1
cabun-rural-health,https://www.linkedin.com/company/cabun-rural-health,Cabun Rural Health,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"11-50 employees. Headquarters: Hampton, Arkansas. Type: Nonprofit. Founded ... FQHC Fiscal Consultant, Chief Financial… Click here to view Sallye Kellam's ...","site:linkedin.com/company/ ""FQHC"" ""11-50""",16,2026-04-17T07:54:45Z,https://www.crh.org,wrong_entity,1
care-alliance-health-center,https://www.linkedin.com/company/care-alliance-health-center,Care Alliance Health Center,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"Care Alliance Health Center, a trusted Federally Qualified Health Center (FQHC) serving Cleveland for over four decades, offers comprehensive medical, ...","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",7,2026-04-17T07:53:20Z,https://www.care-alliance.org,ok,1
caremessage,https://www.linkedin.com/company/caremessage,CareMessage,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,51-200 karyawan ... CareMessage is proud to sponsor this gathering of community health center leaders and advocates working to expand access to ...,"site:linkedin.com/company/ ""community health center"" ""51-200""",23,2026-04-17T07:52:10Z,https://www.caremessage.org,ok,1
