run_slug,seller_slug,segment_slug,company_name_raw,company_name,company_name_short,company_name_normalization_method,company_domain,company_linkedin_url,company_description,company_offer,company_icp,company_painpoint,company_signals,company_signal_sources,company_quality_score,company_needs_followup,people_count,emailed_people_count,bucket_summary
alertica-fqhcs-minimax-line1-sample-05062026,alertica,fqhcs-minimax-line1-sample,Altura Centers for Health,Altura Centers For Health,Altura Centers For Health,heuristic,altura.org,https://www.linkedin.com/company/alturacentersforhealth,"Altura Centers for Health (ALTURA) is a Federally Qualified Health Center (FQHC) and Non-Profit 501(c)(3) organization headquartered in Tulare, California, serving the San Joaquin Valley. The center provides comprehensive healthcare services including Family Medicine, Pediatrics, OB/GYN, Dental, Behavioral Health, Optometry, and Specialty services, with additional offerings such as patient transportation, outreach services, and insurance enrollment.","Multi-specialty community health center providing primary care, dental, behavioral health, and specialty services to underserved populations in the Central Valley region of California","Low-income patients, Medicaid recipients, uninsured individuals, and migrant populations in Tulare County and surrounding San Joaquin Valley communities","HIPAA compliance and ePHI data integrity across multiple clinic locations with limited IT resources, plus regulatory uncertainty due to federal funding changes",FQHC serving Central Valley | Participates in California Primary Care Association advocacy | Partner with College of the Sequoias for workforce development | Uses Medfusion patient portal | Multi-location operations with diverse service lines | Pilot program participant for Mexican physicians,https://www.altura.org|https://www.linkedin.com/company/alturacentersforhealth|https://localnewsmatters.org/2025/04/10/trump-orders-mean-uncertainty-for-san-joaquin-valleys-safety-net-of-health-clinics/,100,false,1,1,technical_it
alertica-fqhcs-minimax-line1-sample-05062026,alertica,fqhcs-minimax-line1-sample,Ampla Health,Ampla Health,Ampla Health,heuristic,amplahealth.org,https://www.linkedin.com/company/del-norte-clinics-inc.,"Ampla Health is a 501(c)(3) non-profit network of community-based Federally Qualified Health Centers (FQHC) providing comprehensive medical, dental, mental health, and specialty healthcare services across Butte, Colusa, Glenn, Sutter, Tehama, and Yuba counties in Northern California.","Healthcare services including primary care, dental care, mental health services, specialty care, and mobile medical units for underserved populations",Patients in rural Northern California communities seeking affordable healthcare; federally qualified health center model serving underserved populations,"Multi-site FQHC operations with 134+ providers managing ePHI across distributed locations face HIPAA compliance complexity and potential file integrity monitoring gaps, especially with cloud-based eClinicalWorks EHR deployment requiring robust compliance monitoring across all clinic sites",eClinicalWorks Cloud EHR implementation | 134-provider FQHC | Multi-county service area (6 counties) | Mobile medical unit expansion | Recent operational efficiency focus,https://www.businesswire.com/news/home/20231107977338/en/eClinicalWorks-Cloud-EHR-Improves-Operational-Efficiency-for-134-Provider-Federally-Qualified-Health-Center|https://www.chicoer.com/2020/04/16/mobile-medical-units-for-the-homeless-announced-in-chico-oroville/|https://amplahealth.org/,100,false,1,1,technical_it
alertica-fqhcs-minimax-line1-sample-05062026,alertica,fqhcs-minimax-line1-sample,Asian American Health Coalition - HOPE Clinic,Asian American Health Coalition - Hope Clinic,Asian American Health Coalition - Hope Clinic,heuristic,asianamericanhealth.com,,,,,,,,,,1,1,technical_it
alertica-fqhcs-minimax-line1-sample-05062026,alertica,fqhcs-minimax-line1-sample,Berks Community Health Center,Berks Community Health Center,Berks Community Health Center,heuristic,berkschc.net,https://www.linkedin.com/company/berks-community-health-center,"Berks Community Health Center is a non-profit Federally Qualified Health Center (FQHC) providing patient-centered primary care, behavioral health, dental, and related services across three clinic locations in Berks County, Pennsylvania.","Provides comprehensive primary healthcare services including adult health, behavioral health, children's health, dental, laboratory, substance abuse treatment (Medication Assisted Treatment), and nutrition services to underserved populations.",Underserved populations in Berks County; Medicaid beneficiaries; uninsured/underinsured patients; patients seeking behavioral health and substance abuse treatment services.,"Multi-site FQHC operations with HIPAA compliance requirements across distributed locations, managing ePHI integrity across three clinic sites with patient portal (My Chart) containing sensitive health data - requires robust file integrity monitoring and compliance tracking without disrupting patient care operations.","Multi-site clinic operation (3 locations: Penn Street, Rockland, Oakbrook) | Active My Chart patient portal for EHR access | Behavioral health and MAT services offered | Community health center serving Berks County | Employee count 83 across locations",https://berkschc.net/ | https://www.linkedin.com/jobs/search?geoId=92000000&f_C=15321232 | https://www.bctv.org/2025/07/30/berks-community-health-center-to-celebrate-national-health-center-week-2/,100,false,1,1,technical_it
alertica-fqhcs-minimax-line1-sample-05062026,alertica,fqhcs-minimax-line1-sample,Care Alliance Health Center,Care Alliance Health Center,Care Alliance Health Center,heuristic,carealliance.org,https://www.linkedin.com/company/care-alliance-health-center,"Care Alliance Health Center is a Federally Qualified Health Center (FQHC) serving Cleveland's vulnerable populations since 1985, offering comprehensive medical, dental, behavioral health, podiatry, pharmacy, and telehealth services. The organization employs approximately 96 staff members and operates multiple service locations across the Cleveland area.",[ Schedule A Visit ](/appointment-request) # A Few of Our Services We’re here for every step of your journey.,"FQHCs, community health centers, federally-funded safety-net providers serving underserved populations with multi-service clinic operations","FQHCs handling ePHI across multiple service lines (medical, dental, behavioral health, pharmacy) face significant HIPAA compliance burden and data integrity challenges. With lean IT resources (~96 employees) and multi-site operations, maintaining continuous file integrity monitoring and compliance documentation for protected health information is operationally challenging. Telehealth expansion and MyChart patient portal integration increase the attack surface for ePHI.",Active hiring for Medical Assistant and Bilingual Call Center Representative indicates operational growth|MyChart patient portal (OCHIN) indicates EHR system integration|Telehealth services active|Multi-site clinic operations across Cleveland|PCMH Level III certified|2025 Sliding Fee Scale document published suggests ongoing compliance and documentation requirements,https://carealliance.org/|https://www.linkedin.com/jobs/search?geoId=92000000&f_C=2070076|https://mychart.ochin.org/MyChartCA/Authentication/Login?,100,false,1,1,technical_it
alertica-fqhcs-minimax-line1-sample-05062026,alertica,fqhcs-minimax-line1-sample,CareMessage,Caremessage,Caremessage,heuristic,caremessage.org,https://www.linkedin.com/company/caremessage,"CareMessage is a technology non-profit building the largest patient engagement platform for low-income populations in the United States, focused on health equity. The platform combines messaging, data, and interoperability to increase access to care and improve clinical outcomes.","Patient engagement platform (Health Equity Engine™) enabling organizations to send messaging, manage data, and achieve interoperability for health equity initiatives. Serves FQHCs and free clinics with a nonprofit model that reinvests revenue into impact.","FQHCs (Federally Qualified Health Centers), free clinics, and healthcare organizations committed to advancing health equity for low-income populations","As a patient data platform handling 20M+ patient records across multiple FQHC partners, CareMessage faces significant HIPAA compliance obligations and ePHI integrity requirements. Their multi-site clinic operations across diverse health center partners create ongoing compliance monitoring needs for protected health information.","TIME 2026 Most Influential Companies list (Impact in Equality Award) | 900,000+ people reached with SDoH messaging in past year | Forbes 30 Under 30 recognition for co-founder | 20 million patients reached since 2013",https://caremessage.org/ | https://caremessage.org/partners/fqhcs/ | https://time.com/collection/time100-most-influential-companies/2026/caremessage/,100,false,1,1,technical_it
alertica-fqhcs-minimax-line1-sample-05062026,alertica,fqhcs-minimax-line1-sample,Coplin Health Systems,Coplin Health Systems,Coplin Health Systems,heuristic,coplinhealth.com,https://www.linkedin.com/company/wirt-county-health-services-association-inc,"Coplin Health Systems is a federally qualified health center (FQHC) established in 1978, serving communities across West Virginia and Ohio with 11 service centers, an administrative center, and two mobile health units. The non-profit provides primary care, behavioral health, dental, pharmacy through 340B programming, and mobile healthcare services.","Comprehensive community health services including primary care, behavioral health, dental care, pharmacy services, pediatric care, urgent care, and mobile health unit delivery across multiple counties.",Underserved populations in rural West Virginia and Ohio counties; patients regardless of ability to pay; community members facing barriers to healthcare access including those served by mobile units.,"Multi-site distributed healthcare operations with mobile units create challenges for HIPAA compliance and ePHI integrity monitoring across 11+ locations; recent expansion (second mobile unit, new COO, mobile dental program) indicates scaling infrastructure that may strain compliance visibility and file integrity monitoring across dispersed locations.",COO hire (Tracy Martin RN Aug 2025) | Second mobile health unit launched Nov 2025 | Mobile Dental Program expansion Oct 2025 | Dr. Cindy Dugan behavioral health hire Jan 2026 | Multi-county FQHC serving rural WV/OH communities,https://www.newsandsentinel.com/news/business/2025/09/coplin-health-systems-names-tracy-martin-chief-operating-officer/ | https://www.mariettatimes.com/news/local-news/2025/11/coplins-second-mobile-health-unit-hits-the-road/ | https://www.newsandsentinel.com/news/business/2025/10/opening-wide-coplin-health-systems-gases-up-new-mobile-dental-program/ | https://www.newsandsentinel.com/news/business/2026/01/coplin-health-systems-welcomes-dr-cindy-dugan/ | LinkedIn company page,100,false,1,1,technical_it
alertica-fqhcs-minimax-line1-sample-05062026,alertica,fqhcs-minimax-line1-sample,Crossing Healthcare,Crossing Healthcare,Crossing Healthcare,heuristic,crossinghealthcare.org,https://www.linkedin.com/company/crossing-healthcare,"Crossing Healthcare is a federally qualified health center (FQHC) operating since 1972 as a non-profit organization in Decatur and Macon County, providing primary outpatient healthcare to men, women, and children of all ages regardless of insurance status.","Comprehensive outpatient healthcare services including adult medicine, pediatrics, women's health, psychiatry, behavioral health, substance use disorder treatment, convenient care, and laboratory/radiology services across multiple clinic locations.","Federally qualified health centers (FQHCs) serving underserved populations, particularly those serving Macon County and surrounding communities with diverse payment needs.",Multi-site clinic operations creating distributed ePHI storage across locations; HIPAA and 42 CFR Part 2 compliance burden for substance use disorder and behavioral health services; limited IT resources (58 employees) needing lightweight compliance monitoring solutions; potential EHR/NextGen integration challenges for file integrity monitoring.,FQHC status|multi-location operations|behavioral health services|substance use disorder treatment|HIPAA/compliance requirements|moderate size clinic,LinkedIn Company Profile|crossinghealthcare.org,100,false,1,1,technical_it
alertica-fqhcs-minimax-line1-sample-05062026,alertica,fqhcs-minimax-line1-sample,Herald Christian Health Center,Herald Christian Health Center,Herald Christian Health Center,heuristic,hchcla.org,https://www.linkedin.com/company/herald-christian-health-center,"Herald Christian Health Center (HCHC) is a non-profit Federally Qualified Health Center (FQHC) and Patient Centered Medical Home (PCMH) licensed by the California Department of Health Care Services, providing medical, dental, optometry, behavioral health, and enrollment services to the community.","HCHC provides community healthcare services including primary care, dental, optometry, behavioral health, and acupuncture, along with a patient portal for EHR access.","HCHC serves underserved communities in Los Angeles and San Diego counties, providing low-cost and free medical and mental health services.","As an FQHC handling ePHI across multiple service lines (medical, dental, optometry, behavioral health), HCHC faces HIPAA compliance burden and ePHI integrity monitoring challenges across their multi-location operation with limited IT resources (78 employees). The patient portal indicates digital health infrastructure that requires file integrity monitoring to protect ePHI.","FQHC designation|PCMH certified|Multi-service clinic (medical, dental, optometry, behavioral health)|Patient portal live|ePHI across multiple departments",linkedin_company|site_pages,100,false,1,1,technical_it
alertica-fqhcs-minimax-line1-sample-05062026,alertica,fqhcs-minimax-line1-sample,Jane Pauley Community Health Center,Jane Pauley Community Health Center,Jane Pauley Community Health Center,heuristic,janepauleychc.org,https://www.linkedin.com/company/the-jane-pauley-community-health-center-inc-,"Jane Pauley Community Health Center (JPCHC) is a non-profit federally qualified health center (FQHC) providing primary care, pediatrics, OB/GYN, behavioral health, and dental services across Central Indiana. With over 100,000 annual patient visits and a current expansion from 10 to 17 sites, JPCHC serves underserved populations regardless of insurance status.","Comprehensive healthcare services including primary care, pediatrics, OB/GYN, behavioral health, dental care, healthcare enrollment assistance, language translation, patient support, and pharmacy services.",Underserved and vulnerable populations in Central Indiana seeking affordable healthcare regardless of insurance status; patients requiring integrated primary care and behavioral health services.,"Multi-site clinic operations with 17 locations across Central Indiana create significant challenges for HIPAA compliance and ePHI integrity monitoring. A recent TriZetto data security incident has exposed vulnerabilities in their data protection infrastructure, making file integrity monitoring and compliance monitoring critical operational needs.",TriZetto data security incident requiring incident response | CEO Marc Hackett received NACHC Lifetime Achievement award | Expanding from 10 to 17 clinic sites including Greenwood location | MyChart/OCHIN EHR system in use | Recent pediatric center acquisition,https://janepauleychc.org/trizetto-data-security-incident-information-resources/ | https://dailyjournal.net/2024/01/19/health-center-coming-to-greenwood-will-see-patients-regardless-of-insurance/ | https://kokomolantern.substack.com/p/jane-pauley-acquires-pediatric-center | https://mychart.ochin.org/MyChartJPCHC,100,false,1,1,technical_it
