linkedin_slug,linkedin_url,company_name,tier,tier_label,primary_keyword,size_bracket,description_snippet,discovery_query,page_found,first_seen_at,resolved_domain,resolve_status,matching_people_count
alturacentersforhealth,https://www.linkedin.com/company/alturacentersforhealth,Altura Centers for Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"... Federally Qualified Health Center (FQHC) and is a Non-Profit 501 ( ... 201-500 employés. Siège social: Tulare, California. Type: Non ...","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",4,2026-04-17T07:53:54Z,,none,2
del-norte-clinics-inc.,https://www.linkedin.com/company/del-norte-clinics-inc.,Ampla Health,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"... (FQHC) offering comprehensive medical, dental, mental health, and specialty ... 201-500 pekerja. Ibu pejabat: Yuba City , CA. Jenis: Kebajikan. Ditubuhkan ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",8,2026-04-17T07:55:48Z,https://www.amplahealth.org,ok,2
bchnhealth,https://www.linkedin.com/company/bchnhealth,Bronx Community Health Network (BCHN),1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"11-50 employees. Headquarters: Bronx, New York. Type: Nonprofit. Founded: 1996 ... Callen-Lorde Community Health Center. Hospitals and Health Care. New York ...","site:linkedin.com/company/ ""community health center"" ""11-50""",4,2026-04-17T07:51:05Z,https://www.bronxcommunity.org,ok_loc_only,2
five-rivers-health-centers,https://www.linkedin.com/company/five-rivers-health-centers,Five Rivers Health Centers,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"201–500 anställda. Huvudkontor: Dayton, Ohio. Typ: Ideell organisation ... As a Federally Qualified Health Center, we ensure that cost is never a ...","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",5,2026-04-17T07:53:55Z,https://www.fiverivershealthcenters.org,ok,2
holyoke-health-center-inc-,https://www.linkedin.com/company/holyoke-health-center-inc-,"Holyoke Health Center, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"... Community Health Center located in Holyoke, MA. Founded in 1970 ... 201-500 medarbejdere. Hovedkvarter: Holyoke, MA. Type: Nonprofit.","site:linkedin.com/company/ ""community health center"" ""201-500""",14,2026-04-17T07:52:40Z,https://www.holyokehealth.com,needs_review,2
mallory-community-health-center-lexington-ms,https://www.linkedin.com/company/mallory-community-health-center-lexington-ms,Mallory Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"External link for Mallory Community Health Center. Industry: Health and Human Services. Company size: 51-200 employees. Headquarters: Lexington, Mississippi.","site:linkedin.com/company/ ""community health center"" ""51-200""",2,2026-04-17T07:51:44Z,,none,2
palmsmedicalgroup,https://www.linkedin.com/company/palmsmedicalgroup,PALMS MEDICAL GROUP,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"201-500 employees. Headquarters: High Springs, Florida. Type: Nonprofit. Founded: 1971. Specialties: Pharmacy , Non Profit, FQHC, Dental , Xray, Medical Clinic ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",23,2026-04-17T07:56:07Z,https://palmsmg.org,ok,2
richland-parish-hospital,https://www.linkedin.com/company/richland-parish-hospital,Richland Parish Hospital,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,Richland Parish Hospital | LinkedIn 팔로워 152명 | Delhi Hospital │ Delhi Rural Health Clinic │ Delhi Community Health Center ... 직원 201-500명. 본사 ...,"site:linkedin.com/company/ ""community health center"" ""201-500""",6,2026-04-17T07:52:30Z,https://richlandparishhospital.com,parking,2
tennessee-primary-care-association,https://www.linkedin.com/company/tennessee-primary-care-association,Tennessee Primary Care Association,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"11-50 employees. Headquarters: Nashville, TN. Type: Nonprofit. Founded: 1976 ... With nearly two decades of experience in the community health center space ...","site:linkedin.com/company/ ""community health center"" ""11-50""",8,2026-04-17T07:51:11Z,,none,2
tri-area-community-health,https://www.linkedin.com/company/tri-area-community-health,Tri-Area Community Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"... Federally Qualified Health Center and a Recognized Health Quality Leader. We ... 51-200 medarbejdere. Hovedkvarter: Laurel Fork, Virginia. Type: Nonprofit.","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",27,2026-04-17T07:53:47Z,,none,2
