linkedin_slug,linkedin_url,company_name,tier,tier_label,primary_keyword,size_bracket,description_snippet,discovery_query,page_found,first_seen_at,resolved_domain,resolve_status,matching_people_count
bchnhealth,https://www.linkedin.com/company/bchnhealth,Bronx Community Health Network (BCHN),1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"11-50 employees. Headquarters: Bronx, New York. Type: Nonprofit. Founded: 1996 ... Callen-Lorde Community Health Center. Hospitals and Health Care. New York ...","site:linkedin.com/company/ ""community health center"" ""11-50""",4,2026-04-17T07:51:05Z,https://www.bronxcommunity.org,ok_loc_only,2
five-rivers-health-centers,https://www.linkedin.com/company/five-rivers-health-centers,Five Rivers Health Centers,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"201–500 anställda. Huvudkontor: Dayton, Ohio. Typ: Ideell organisation ... As a Federally Qualified Health Center, we ensure that cost is never a ...","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",5,2026-04-17T07:53:55Z,https://www.fiverivershealthcenters.org,ok,2
holyoke-health-center-inc-,https://www.linkedin.com/company/holyoke-health-center-inc-,"Holyoke Health Center, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"... Community Health Center located in Holyoke, MA. Founded in 1970 ... 201-500 medarbejdere. Hovedkvarter: Holyoke, MA. Type: Nonprofit.","site:linkedin.com/company/ ""community health center"" ""201-500""",14,2026-04-17T07:52:40Z,https://www.holyokehealth.com,needs_review,2
tennessee-primary-care-association,https://www.linkedin.com/company/tennessee-primary-care-association,Tennessee Primary Care Association,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"11-50 employees. Headquarters: Nashville, TN. Type: Nonprofit. Founded: 1976 ... With nearly two decades of experience in the community health center space ...","site:linkedin.com/company/ ""community health center"" ""11-50""",8,2026-04-17T07:51:11Z,,none,2
alexander-valley-healthcare,https://www.linkedin.com/company/alexander-valley-healthcare,Alexander Valley Healthcare,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"... federally qualified health center, which allows it to receive federal health ... 51 - 200 çalışan. Genel Merkez: Cloverdale, California. Türü: Kâr Amacı ...","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",1,2026-04-17T07:53:13Z,https://alexandervalleyhealthcare.org,needs_review,1
altruis,https://www.linkedin.com/company/altruis,Altruis,1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,"51-200 employees. Headquarters: Louisville, Kentucky. Type: Privately Held. Founded: 2003. Specialties: Revenue Cycle Management Services, Billing Services, ...","site:linkedin.com/company/ ""FQHC"" ""51-200""",10,2026-04-17T07:55:12Z,https://www.altruis.fr,needs_review,1
alturacentersforhealth,https://www.linkedin.com/company/alturacentersforhealth,Altura Centers for Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"... Federally Qualified Health Center (FQHC) and is a Non-Profit 501 ( ... 201-500 employés. Siège social: Tulare, California. Type: Non ...","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",4,2026-04-17T07:53:54Z,,none,1
amistad-community-health-center,https://www.linkedin.com/company/amistad-community-health-center,Amistad Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"Amistad Community Health Center | 288 followers on LinkedIn. ""Empowering ... 51-200 employees. Headquarters: Corpus Christi, Texas. Type: Nonprofit. Founded ...","site:linkedin.com/company/ ""community health center"" ""51-200""",18,2026-04-17T07:52:03Z,,none,1
del-norte-clinics-inc.,https://www.linkedin.com/company/del-norte-clinics-inc.,Ampla Health,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"... (FQHC) offering comprehensive medical, dental, mental health, and specialty ... 201-500 pekerja. Ibu pejabat: Yuba City , CA. Jenis: Kebajikan. Ditubuhkan ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",8,2026-04-17T07:55:48Z,https://www.amplahealth.org,ok,1
aria-community-health-center,https://www.linkedin.com/company/aria-community-health-center,Aria Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"Aria Community Health Center | 352 followers on LinkedIn. Aria Community Health Center ... 201-500 employees. Headquarters: Lemoore, California. Type: Public ...","site:linkedin.com/company/ ""community health center"" ""201-500""",27,2026-04-17T07:52:58Z,https://ariacommunityhealthcenter.org,parking,1
avenue-360-health-and-wellness,https://www.linkedin.com/company/avenue-360-health-and-wellness,Avenue 360 Health and Wellness,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"51–200 anställda. Huvudkontor: Houston ... Liknande sidor. Legacy Community Health. Sjukhus och hälsovård. Houston, TX. Spring Branch Community Health Center.","site:linkedin.com/company/ ""community health center"" ""51-200""",3,2026-04-17T07:51:45Z,,none,1
avivahealthor,https://www.linkedin.com/company/avivahealthor,Aviva Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"Aviva Health, formerly known as Umpqua Community Health Center, is a Federally Qualified Health Center ... 201-500 employees. Headquarters: Roseburg, Oregon.","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",2,2026-04-17T07:53:52Z,https://www.avivahealth.com,bad_content,1
azahealthfl,https://www.linkedin.com/company/azahealthfl,Aza Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"... federally qualified health center (FQHC), Aza Health operates in areas ... 201-500 employees. Headquarters: Palatka, Florida. Type: Nonprofit. Founded: 1977.","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",19,2026-04-17T07:54:13Z,https://azahealth.org,wrong_entity,1
asc-communications,https://www.linkedin.com/company/asc-communications,Becker's Healthcare,1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,"51-200 dipendenti. Sede principale: Chicago, IL. Tipo: Società privata non ... Proud to represent the FQHC perspective in a room of larger health systems ...","site:linkedin.com/company/ ""FQHC"" ""51-200""",1,2026-04-17T07:55:01Z,https://www.asccommunications.com,title_mismatch,1
blue-ridge-medical-center,https://www.linkedin.com/company/blue-ridge-medical-center,Blue Ridge Medical Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"51–200 Beschäftigte. Hauptsitz: Arrington, VA. Art: Nonprofit. Gegründet: 1985 ... GREATER PRINCE WILLIAM AREA COMMUNITY HEALTH CENTER INC. Krankenhäuser und ...","site:linkedin.com/company/ ""community health center"" ""51-200""",9,2026-04-17T07:51:52Z,https://blueridgemedicalcenter.com,parking,1
bond-community-health-ctr,https://www.linkedin.com/company/bond-community-health-ctr,"Bond Community Health Center, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"קישור חיצוני עבור Bond Community Health Center, Inc. תעשייה: Hospitals and Health Care. גודל החברה: 51-200 עובדים. משרדים ראשיים: Tallahassee, Florida. סוג ...","site:linkedin.com/company/ ""community health center"" ""51-200""",31,2026-04-17T07:52:24Z,https://www.hugedomains.com/domain_profile.cfm?d=bondcommunity.com,parking,1
bud-distributing,https://www.linkedin.com/company/bud-distributing,Bud Distributing,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,11-50 人. 总部: Dowagiac，Michigan. 类型: 私人持股. 创立: 1947. 地点. 主要. 52322 M ... Families Together of Orange County Community Health Center. 医院和医疗 ...,"site:linkedin.com/company/ ""community health center"" ""11-50""",5,2026-04-17T07:51:07Z,https://buddistributing.com,ok,1
bullhook-community-health-center,https://www.linkedin.com/company/bullhook-community-health-center,Bullhook Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,Lien externe pour Bullhook Community Health Center. Secteur: Services de bien-être et installations sportives. Taille de l'entreprise: 11-50 employés. Siège ...,"site:linkedin.com/company/ ""community health center"" ""11-50""",2,2026-04-17T07:51:03Z,,none,1
capstone-rural-health-ctr,https://www.linkedin.com/company/capstone-rural-health-ctr,Capstone Health,1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,"Capstone Health | 196 Follower:innen auf LinkedIn. Your Health. Our Mission | At Capstone Health (FQHC) ... 51–200 Beschäftigte. Hauptsitz: Parrish, Alabama.","site:linkedin.com/company/ ""FQHC"" ""51-200""",25,2026-04-17T07:55:31Z,https://www.capstone-health.com,needs_review,1
caresouth-medical-dental,https://www.linkedin.com/company/caresouth-medical-dental,CareSouth Medical & Dental,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,CareSouth Medical & Dental | 402 pengikut di LinkedIn. CareSouth is a private non-profit Federally Qualified Health Center ... 51-200 pekerja. Ibu pejabat ...,"site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",21,2026-04-17T07:53:38Z,,none,1
carolina-health-centers-inc,https://www.linkedin.com/company/carolina-health-centers-inc,"Carolina Health Centers, Inc.",1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"Carolina Health Centers, Inc. Arztpraxen. Greenwood, South Carolina 541 Follower:innen. We are the FQHC serving the Lakelands area of South Carolina. ... 201–500 ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",6,2026-04-17T07:55:46Z,https://www.carolinahealthcenters.org,title_mismatch,1
ccchc,https://www.linkedin.com/company/ccchc,Coal Country Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,关于我们. Coal Country Community Health Center is a local non-profit rural community health center ... 51-200 人. 总部: Beulah，North Dakota. 类型: 非营利机构 ...,"site:linkedin.com/company/ ""community health center"" ""51-200""",11,2026-04-17T07:51:54Z,https://coalcountry.org,title_mismatch,1
community-health-access-network-chan,https://www.linkedin.com/company/community-health-access-network-chan,Community Health Access Network (CHAN),1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"11-50 employees. Headquarters: Newmarket, NH. Type: Nonprofit. Founded: 1995 ... Moses Lake Community Health Center. Hospitals and Health Care. Moses Lake, WA ...","site:linkedin.com/company/ ""community health center"" ""11-50""",2,2026-04-17T07:51:03Z,https://communityhealthaccess-com.l.ink,title_mismatch,1
community-health-care-systems-inc-,https://www.linkedin.com/company/community-health-care-systems-inc-,"Community Health Care Systems, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"51-200 employés. Siège social: Tennille, GA. Type: Non lucratif. Fondée en: 1993 ... Hardeman County Community Health Center. Cabinets médicaux. Bolivar, TN ...","site:linkedin.com/company/ ""community health center"" ""51-200""",4,2026-04-17T07:51:46Z,https://communityhealthcaresystems.org,ok,1
