run_slug,seller_slug,segment_slug,company_name_raw,company_name,company_name_short,company_name_normalization_method,company_domain,company_linkedin_url,company_description,company_offer,company_icp,company_painpoint,company_signals,company_signal_sources,company_quality_score,company_needs_followup,people_count,emailed_people_count,bucket_summary
alertica-fqhcs-spintax-guard-fulltest3-05062026,alertica,fqhcs-spintax-guard-fulltest3,Community Access Network,A Community Network,A Community Network,heuristic,communityaccessnetwork.org,https://www.linkedin.com/company/community-access-network,"Community Access Network is a Federally Qualified Health Center (FQHC) in Virginia that provides affordable primary and preventive care services to underserved, underinsured, and uninsured patients regardless of their ability to pay. The organization serves patients with complex medical issues and offers a reduced fee program for those with high-deductible insurance plans. With approximately 73 employees, the clinic provides comprehensive services including primary medical care, pediatrics, gynecology, dental, behavioral health, and chronic condition management.","Community Access Network delivers comprehensive healthcare services including primary medical care, pediatrics, gynecology, dental services, behavioral health, chronic condition management, sexual health services, and same-day walk-in care. They also provide benefit programs, support services, and a reduced fee program for qualifying patients.","Underserved and underinsured patient populations in Virginia, including those with complex medical issues, patients without insurance, and individuals qualifying for reduced-fee care. The organization serves as a safety-net provider regardless of patients' ability to pay.","As an FQHC handling sensitive patient data and ePHI, Community Access Network faces HIPAA compliance obligations and data integrity requirements for patient records. With limited resources (73 employees) and diverse service lines, they likely struggle with lightweight IT deployment, compliance monitoring across multiple service categories, and ensuring EHR/EMR system integrity while maintaining operational efficiency across their clinic operations.",No recent news or LinkedIn activity detected. FQHC status confirmed. Multiple service lines indicate complex operational environment.,http://www.communityaccessnetwork.org|LinkedIn Company Page,100,false,1,1,operations
alertica-fqhcs-spintax-guard-fulltest3-05062026,alertica,fqhcs-spintax-guard-fulltest3,"Aaron E. Henry Community Health Services Center, Inc",Aaron E. Henry Community Health Services Center,Aaron E. Henry Community Health Services Center,heuristic,aehchc.org,https://www.linkedin.com/company/aaron-e-henry-community-health-services-center-inc,"Aaron E. Henry Community Health Services Center, Inc. (AEHCHC) is a Federally Qualified Health Center (FQHC) serving the Mississippi Delta and delta hills communities, providing integrated, comprehensive primary and preventive health care services across multiple clinic locations.","Full-range health services including medical, dental, behavioral health, optometry, exercise therapy, and social services; accepts private insurance, CHIP, Medicaid, Medicare, and uninsured patients; operates patient portal and transportation services (D.A.R.T.S., Delta Rides); designated as Patient-Centered Medical Home.","Federally Qualified Health Centers (FQHCs) serving underserved communities, particularly in rural Mississippi Delta regions, requiring HIPAA-compliant infrastructure for ePHI handling.","FQHCs handling ePHI face HIPAA compliance requirements and need to protect electronic protected health information integrity across multiple clinic sites; likely requires lightweight, agentless file integrity monitoring that can deploy across distributed multi-site operations without overwhelming limited IT resources.",FQHC status with multiple service lines|Patient-Centered Medical Home designation|Multi-location operations with transportation services|eCW/Healow patient portal in use|44-200 employees across locations,https://www.linkedin.com/company/79321715|https://aehchc.org/,100,false,1,1,generic_management
alertica-fqhcs-spintax-guard-fulltest3-05062026,alertica,fqhcs-spintax-guard-fulltest3,Advantage Care Health Centers,Advantage Care Health Centers,Advantage Care Health Centers,heuristic,advantagecaredtc.org,https://www.linkedin.com/company/advcarefqhc,"Advantage Care Health Centers is a Federally Qualified Health Center (FQHC) on Long Island, New York providing medical, dental, mental/behavioral health services, and specialized autism/developmental disability care through the Fay J. Lindner Center.","Healthcare services (primary care, dental, mental/behavioral health, psychiatry, autism services) to the community regardless of income, language, or insurance status.","Underserved communities on Long Island requiring affordable, comprehensive healthcare; patients with autism and developmental disabilities and their families.","As an FQHC handling ePHI across multiple service lines (medical, dental, behavioral health), they face HIPAA compliance burden and need file integrity monitoring to protect patient data. Active hiring for Director of Healthcare Risk Management & Quality Assurance suggests focus on compliance and risk management. Multi-site operations (Brookville location mentioned) create distributed data protection challenges.","Hiring Director of Healthcare Risk Management & Quality Assurance FQHC | Active patient portal (eCW/EHR) | Community health center serving vulnerable populations | Multi-location operations (Brookville, Long Island)",https://www.linkedin.com/jobs/search?geoId=92000000&f_C=11562325 | https://advantagecaredtc.org/ | https://mycw88.ecwcloud.com/portal11815/jsp/100mp/login%5Fotp.jsp,100,false,4,4,clinical_admin | generic_management | hr_admin | security_compliance_risk
alertica-fqhcs-spintax-guard-fulltest3-05062026,alertica,fqhcs-spintax-guard-fulltest3,Affinity Health Center,Affinity Health Center,Affinity Health Center,heuristic,affinityhealthcenter.org,https://www.linkedin.com/company/affinity-health-center,"Affinity Health Center is a Federally Qualified Community Health Center (FQHC) serving York County, South Carolina with three locations in Rock Hill, Clover, and York. The center provides comprehensive primary care, specialty services including HIV specialty care and hepatitis C treatment, onsite dental care, pharmacy, mental health counseling, and case management.","Community health center providing comprehensive healthcare services including primary care, dental, pharmacy, mental health, HIV/hepatitis C specialty care, and case management to underserved populations in York County, SC","Underserved community members in York County, SC; patients seeking affordable, comprehensive care including those with HIV, hepatitis C, or mental health needs","Multi-site FQHC operations with HIPAA-regulated ePHI across dispersed locations (Rock Hill, Clover, York); recent expansion to new facility increases IT infrastructure complexity; sensitive patient data (HIV status, mental health records, hepatitis C treatment data) requires robust integrity monitoring and compliance controls; likely operational bottlenecks in maintaining consistent security policies across sites while managing limited IT resources typical of FQHCs","Recent facility expansion to new Rock Hill location | Active hiring for clinical and administrative leadership (Director of Nursing, Dental Office Manager, Executive Admin) | Serves vulnerable populations including HIV and hepatitis C patients | Multiple clinic sites across York County | Uses healow patient portal for EHR/records",https://affinityhealthcenter.org | https://www.heraldonline.com/news/local/article215567445.html | https://www.linkedin.com/jobs/search?geoId=92000000&f_C=15897642,100,false,3,3,clinical_admin | generic_management
alertica-fqhcs-spintax-guard-fulltest3-05062026,alertica,fqhcs-spintax-guard-fulltest3,AccessHealth Community Health Center,AH Community Health Center,AH Community Health Center,heuristic,accesshealthwv.com,https://www.linkedin.com/company/accesshealth,"AccessHealth is a non-profit Federally Qualified Health Center (FQHC) established in 1967 that provides comprehensive primary healthcare services to citizens of Raleigh, Mercer, Greenbrier, and Fayette counties in southern West Virginia. The organization operates multiple clinic locations and pharmacies across the region and is recognized as a Level 3 Patient Centered Medical Home by the National Committee for Quality Assurance.","Comprehensive primary healthcare services including adult medicine, behavioral health, pharmacy services with Patient In Need program, and family medicine residency programs","Underserved populations in southern West Virginia requiring primary care; patients seeking comprehensive, community-based healthcare with sliding scale affordability",Multi-site FQHC operations handling ePHI across distributed clinic locations require robust file integrity monitoring and compliance controls to maintain HIPAA compliance while managing athenahealth EHR system across multiple facilities,Multi-site FQHC operation | Uses athenahealth EHR | Recent Harper Road Women's Clinic expansion | Level 3 NCQA Patient Centered Medical Home recognition | 77 employees | Operates pharmacies and clinics across 4 counties,https://www.linkedin.com/company/1347280 | https://www.accesshealthwv.com | https://woay.com/accesshealth-opens-new-harper-road-womens-clinic/,100,false,1,1,hr_admin
alertica-fqhcs-spintax-guard-fulltest3-05062026,alertica,fqhcs-spintax-guard-fulltest3,AccessHealth Community Health Center,AH Community Health Center,AH Community Health Center,heuristic,myaccesshealth.org,https://www.linkedin.com/company/accesshealthtx,"AccessHealth is a private, not-for-profit Federally Qualified Health Center (FQHC) established in 1975 and designated as an FQHC in 2002. Located in Fort Bend County, Texas, it provides comprehensive healthcare services for the entire family through a network of community clinics and local providers.","Quality, comprehensive, and affordable healthcare services including primary care, mental health services, and medical-legal partnerships for residents of Fort Bend County.","Underserved and vulnerable populations in Fort Bend County requiring affordable, comprehensive family healthcare services; patients needing integrated legal and health support.","Multi-site clinic operations with HIPAA compliance obligations for ePHI protection, resource constraints typical of not-for-profit FQHCs, and operational complexity managing distributed healthcare delivery across multiple locations while maintaining regulatory compliance.","New CEO appointment (Michael R. Dotson, CPA) signals financial/compliance focus | Expanding mental health services with annual conference | Medical-Legal Partnership indicates integrated care model | Active community health events program",https://www.linkedin.com/company/accesshealth-community-health-center|https://fbindependent.com/dotson-named-ceo-of-accesshealth-p11374-91.htm|https://fbindependent.com/houston-methodist-sugar-land-hospital-to-sponsor-heart-of-fort-bend-p8996-91.htm,100,false,1,1,operations
alertica-fqhcs-spintax-guard-fulltest3-05062026,alertica,fqhcs-spintax-guard-fulltest3,Alameda Health Consortium,Alameda Health Consortium,Alameda Health Consortium,heuristic,alamedahealthconsortium.org,https://www.linkedin.com/company/alameda-health-consortium,"Alameda Health Consortium (AHC) is a regional association of eight federally qualified health centers (FQHCs) operating over 105 clinic sites and 20 mobile units, collectively serving approximately 200,000 patients in Alameda County and 290,000 across the East Bay region.","AHC provides advocacy, best practice sharing, and policy collaboration for member FQHCs rather than direct healthcare services. The member health centers provide direct patient care including primary care, behavioral health, HIV services, and immigration resources.","The consortium represents member FQHCs that serve medically underserved populations in the East Bay area of California, focusing on community health centers providing safety-net healthcare.","As a consortium managing multiple FQHCs with 105+ clinic sites and 20 mobile units across Alameda County, AHC and member centers face significant HIPAA compliance challenges protecting ePHI across distributed locations. Multi-site operations create complex file integrity and compliance monitoring needs, withOCR-readiness requirements for medical records and need for lightweight deployment solutions that don't burden limited IT staff (23 employees at consortium level).",Active California state advocacy (Day at Capitol)|Policy focus on healthcare access|HIV services priority|Integrated behavioral health focus|Immigration resources support|Multi-site operations (105+ sites),http://www.alamedahealthconsortium.org|https://www.linkedin.com/jobs/search?geoId=92000000&f_C=2478626,100,false,1,1,generic_management
alertica-fqhcs-spintax-guard-fulltest3-05062026,alertica,fqhcs-spintax-guard-fulltest3,Alcona Health Center,Alcona Health Center,Alcona Health Center,heuristic,alconahealthcenters.org,https://www.linkedin.com/company/alcona-health-center,"Alcona Health Center is a non-profit, Federally Qualified Qualified Health Center (FQHC) providing medical, behavioral health, dental, pharmacy, and recovery services across multiple locations in northern lower Michigan and the eastern Upper Peninsula.","Patient-centered healthcare services including primary care, pediatrics, behavioral health, dental, pharmacy, recovery services, and school-based care, with a mission to provide quality healthcare regardless of ability to pay.","Rural and underserved patient populations in northern Michigan and eastern UP, including children and families, with services delivered through multiple clinic locations.","Multi-site FQHC operations across rural geography creating HIPAA compliance complexity and ePHI integrity challenges, with weather-related operational disruptions highlighting need for resilient, distributed compliance monitoring across all locations.",CDC Foundation support for community health initiatives | Active medical doctor hiring | Multiple weather-related location closures documented | Representative visit for pediatric/family health advocacy,https://www.petoskeynews.com/story/news/healthcare/2021/09/21/alcona-health-center-receives-support-cdc-foundation/5788914001/ | https://www.alconahealthcenters.org/,100,false,2,2,generic_management
alertica-fqhcs-spintax-guard-fulltest3-05062026,alertica,fqhcs-spintax-guard-fulltest3,Alliance Health Centers,Alliance Health Centers,Alliance Health Centers,heuristic,myalliancehealth.org,https://www.linkedin.com/company/alliance-health-centers,"Alliance Health Centers is a community health center providing primary medical, OB/GYN, pediatric, and behavioral health care for patients of all ages across five locations in the Fort Wayne, Indiana area. The organization is affiliated with Parkview Health and serves patients regardless of insurance status or ability to pay, offering a sliding fee scale.","Comprehensive healthcare services including primary medical care, OB/GYN, pediatrics, behavioral health, mental health counseling, substance use counseling, child and adult psychiatry, and enrollment services for Medicaid assistance.","FQHCs (Federally Qualified Health Centers) and community health centers serving underserved populations, multi-site clinic operations, organizations requiring HIPAA compliance for ePHI protection, and those with behavioral health service lines.","HIPAA compliance and ePHI data integrity monitoring across multi-site clinic operations, particularly as they expand services and open new locations. Managing file integrity and compliance for sensitive patient health information across distributed EHR systems.",CEO Dr. Nikki King named to Modern Healthcare's 2026 40 Under 40 | Active behavioral health hiring expansion | New clinic opening at Parkview DeKalb Hospital | Parkview Health partnership | 5 clinic locations across Fort Wayne area,https://www.linkedin.com/company/75761138 | https://www.parkview.com/news/results/11142025-alliance-health-centers-7th-street-clinic-goes-live-at-parkview-dekalb-hospital | https://myalliancehealth.org/about,100,false,2,2,clinical_admin | executive_owner
alertica-fqhcs-spintax-guard-fulltest3-05062026,alertica,fqhcs-spintax-guard-fulltest3,Altura Centers for Health,Altura Centers For Health,Altura Centers For Health,heuristic,altura.org,https://www.linkedin.com/company/alturacentersforhealth,"Altura Centers for Health (ALTURA) is a Federally Qualified Health Center (FQHC) and Non-Profit 501(c)(3) organization headquartered in Tulare, California, serving the San Joaquin Valley. The center provides comprehensive healthcare services including Family Medicine, Pediatrics, OB/GYN, Dental, Behavioral Health, Optometry, and Specialty services, with additional offerings such as patient transportation, outreach services, and insurance enrollment.","Multi-specialty community health center providing primary care, dental, behavioral health, and specialty services to underserved populations in the Central Valley region of California","Low-income patients, Medicaid recipients, uninsured individuals, and migrant populations in Tulare County and surrounding San Joaquin Valley communities","HIPAA compliance and ePHI data integrity across multiple clinic locations with limited IT resources, plus regulatory uncertainty due to federal funding changes",FQHC serving Central Valley | Participates in California Primary Care Association advocacy | Partner with College of the Sequoias for workforce development | Uses Medfusion patient portal | Multi-location operations with diverse service lines | Pilot program participant for Mexican physicians,https://www.altura.org|https://www.linkedin.com/company/alturacentersforhealth|https://localnewsmatters.org/2025/04/10/trump-orders-mean-uncertainty-for-san-joaquin-valleys-safety-net-of-health-clinics/,100,false,5,5,executive_owner | finance | generic_management | technical_it
