linkedin_slug,linkedin_url,company_name,tier,tier_label,primary_keyword,size_bracket,description_snippet,discovery_query,page_found,first_seen_at,resolved_domain,resolve_status,matching_people_count
fqhc-340b-compliance,https://www.linkedin.com/company/fqhc-340b-compliance,FQHC 340B Compliance,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"Lien externe pour FQHC 340B Compliance. Secteur: Hôpitaux et services de santé. Taille de l'entreprise: 11-50 employés. Siège social: Lebanon, Tennessee. Type ...","site:linkedin.com/company/ ""FQHC"" ""11-50""",1,2026-04-17T07:54:27Z,https://fqhc340b.org,parking,10
compliance-watchdog,https://www.linkedin.com/company/compliance-watchdog,Compliance Watchdog,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"11-50 employees. Headquarters: Torrance, CA. Type: Privately Held. Founded ... FQHC Associates FQHC. www.compliancewatchdog.com. 26 1 Comment · Like Comment ...","site:linkedin.com/company/ ""FQHC"" ""11-50""",9,2026-04-17T07:54:36Z,,none,9
clinify-inc,https://www.linkedin.com/company/clinify-inc,Clinify Health,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"11-50 pekerja. Ibu pejabat: Chicago, IL. Jenis: Milik Persendirian ... #FQHC #CommunityHealth #HealthCenters #UDSReporting #ClinifyHealth ...","site:linkedin.com/company/ ""FQHC"" ""11-50""",18,2026-04-17T07:54:48Z,https://clinifyhealth.com,parking,8
healingcommunityhealth,https://www.linkedin.com/company/healingcommunityhealth,HEALing Community Health,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"... (FQHC) with several locations in the metro Atlanta area, we provide quality ... 11-50 employees. Headquarters: Atlanta, Georgia. Type: Nonprofit. Founded ...","site:linkedin.com/company/ ""FQHC"" ""11-50""",21,2026-04-17T07:54:52Z,https://healingcommunity.org,parking,7
sweetmedicalcenter,https://www.linkedin.com/company/sweetmedicalcenter,Sweet Medical Center,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,Nov-50,"Sweet Medical Center | 73 följare på LinkedIn. Sweet Medical Center Inc., established in 1988, is a Federally Qualified Health Center ... 11–50 anställda.","site:linkedin.com/company/ ""federally qualified health center"" ""11-50""",1,2026-04-17T07:53:03Z,https://www.onechc.org,wrong_entity,7
tennessee-primary-care-association,https://www.linkedin.com/company/tennessee-primary-care-association,Tennessee Primary Care Association,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"11-50 employees. Headquarters: Nashville, TN. Type: Nonprofit. Founded: 1976 ... With nearly two decades of experience in the community health center space ...","site:linkedin.com/company/ ""community health center"" ""11-50""",8,2026-04-17T07:51:11Z,,none,7
alturacentersforhealth,https://www.linkedin.com/company/alturacentersforhealth,Altura Centers for Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"... Federally Qualified Health Center (FQHC) and is a Non-Profit 501 ( ... 201-500 employés. Siège social: Tulare, California. Type: Non ...","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",4,2026-04-17T07:53:54Z,,none,6
apicha-community-health-center,https://www.linkedin.com/company/apicha-community-health-center,Apicha Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"Externer Link zu Apicha Community Health Center. Branche: Arztpraxen. Größe: 51–200 Beschäftigte. Hauptsitz: New York, New York. Art: Nonprofit. Gegründet: 1989 ...","site:linkedin.com/company/ ""community health center"" ""51-200""",2,2026-04-17T07:51:44Z,,none,6
cabun-rural-health,https://www.linkedin.com/company/cabun-rural-health,Cabun Rural Health,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"11-50 employees. Headquarters: Hampton, Arkansas. Type: Nonprofit. Founded ... FQHC Fiscal Consultant, Chief Financial… Click here to view Sallye Kellam's ...","site:linkedin.com/company/ ""FQHC"" ""11-50""",16,2026-04-17T07:54:45Z,https://www.crh.org,wrong_entity,6
community-healthnet,https://www.linkedin.com/company/community-healthnet,Community HealthNet,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,소개. Community HealthNet is an FQHC. A Federally Qualified Health Center providing comprehensive Primary Care services. ... 직원 51-200명.,"site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",13,2026-04-17T07:53:27Z,https://community-healthnet.com,title_mismatch,6
covenant-community-care-inc.,https://www.linkedin.com/company/covenant-community-care-inc.,Covenant Community Care,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"... community health center offering affordable Medical, Dental and Behavioral ... 51-200 pekerja. Ibu pejabat: Detroit, MI. Jenis: Kebajikan. Ditubuhkan: 2001.","site:linkedin.com/company/ ""community health center"" ""51-200""",5,2026-04-17T07:51:47Z,https://www.covenantcommunitycare.org,ok,6
el-centro-family-health,https://www.linkedin.com/company/el-centro-family-health,El Centro Family Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"... Federally Qualified Health Center based out of The City of Espanola, serving ... 직원 201-500명. 본사: New Mexico Espanola. 유형: 비영리. 위치. 기본. 538 ...","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",21,2026-04-17T07:54:15Z,https://www.translate.com,wrong_entity,6
esperanza-health-centers,https://www.linkedin.com/company/esperanza-health-centers,Esperanza Health Centers,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"... Federally Qualified Health Center that operates four primary care clinics on ... 201–500 Beschäftigte. Hauptsitz: Chicago, Illinois. Art: Nonprofit.","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",3,2026-04-17T07:53:53Z,https://www.esperanzahealth.org,title_mismatch,6
five-rivers-health-centers,https://www.linkedin.com/company/five-rivers-health-centers,Five Rivers Health Centers,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"201–500 anställda. Huvudkontor: Dayton, Ohio. Typ: Ideell organisation ... As a Federally Qualified Health Center, we ensure that cost is never a ...","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",5,2026-04-17T07:53:55Z,https://www.fiverivershealthcenters.org,ok,6
hfhc,https://www.linkedin.com/company/hfhc,HEART OF FLORIDA HEALTH CENTER,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"... Federally- Qualified Health Center (FQHC) in March 2009 with the addition of ... 201-500 employees. Headquarters: OCALA, Florida. Type: Nonprofit. Founded ...","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",10,2026-04-17T07:54:02Z,https://www.adventhealth.com/locations/hospitals/heart-florida,ok,6
healthefficient,https://www.linkedin.com/company/healthefficient,HealthEfficient,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"11-50 employees. Headquarters: Albany, NY. Type: Nonprofit. Founded: 2008 ... #Hiring #CommunityHealth #FQHC #HealthIT · HealthEfficient. Senior Program Manager ...","site:linkedin.com/company/ ""FQHC"" ""11-50""",6,2026-04-17T07:54:33Z,https://healthefficient.org,ok,6
